Kích_thước,Chiều_dài,Chu_vi,Màu_sắc,Chất_liệu,Kiểu_dáng,Họa_tiết,Phụ_kiện,Độ_dày,Tính_năng_đặc_biệt,Lứa_tuổi
2T,64,43,Vàng,Len,Áo thun,Hoa văn,Không,Mỏng,Thoáng khí,Trẻ sơ sinh
3T,65,50,Vàng,Cotton,Áo hoodie,Hoa văn,Khóa kéo,Vừa,Chống nước,Trẻ sơ sinh
2T,58,42,Đỏ,Len,Bộ liền,Trơn,Khóa kéo,Mỏng,Thoáng khí,Trẻ sơ sinh
3T,59,49,Đỏ,Cotton,Bộ liền,Sọc,Không,Vừa,Chống nước,Trẻ sơ sinh
2T,70,45,Vàng,Nỉ,Bộ liền,Trơn,Khóa kéo,Mỏng,Chống nước,Trẻ sơ sinh
3T,62,45,Vàng,Nỉ,Áo thun,Hoa văn,Khóa kéo,Mỏng,Thoáng khí,Trẻ sơ sinh
2T,54,47,Hồng,Cotton,Áo thun,Trơn,Không,Mỏng,Thoáng khí,Trẻ sơ sinh
3T,56,41,Xanh,Len,Áo thun,Trơn,Không,Mỏng,Chống nước,Trẻ sơ sinh
2T,56,50,Xanh,Nỉ,Áo hoodie,Hoa văn,Khóa kéo,Vừa,Chống nước,Trẻ sơ sinh
3T,53,40,Đỏ,Cotton,Áo thun,Trơn,Khóa kéo,Vừa,Thoáng khí,Trẻ sơ sinh
2T,63,45,Hồng,Nỉ,Áo hoodie,Hoa văn,Mũ trùm,Mỏng,Thoáng khí,Trẻ sơ sinh
3T,50,42,Đỏ,Nỉ,Bộ liền,Trơn,Không,Mỏng,Thoáng khí,Trẻ sơ sinh
2T,65,46,Xanh,Len,Áo thun,Sọc,Khóa kéo,Vừa,Chống nước,Trẻ sơ sinh
3T,59,45,Đỏ,Len,Áo thun,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ sơ sinh
2T,58,42,Xanh,Len,Bộ liền,Hoa văn,Mũ trùm,Mỏng,Chống nước,Trẻ sơ sinh
3T,67,40,Vàng,Cotton,Bộ liền,Sọc,Không,Vừa,Chống nước,Trẻ sơ sinh
2T,65,49,Vàng,Len,Áo thun,Trơn,Không,Vừa,Chống nước,Trẻ sơ sinh
3T,68,49,Hồng,Cotton,Áo hoodie,Hoa văn,Không,Vừa,Thoáng khí,Trẻ sơ sinh
2T,52,41,Xanh,Cotton,Bộ liền,Hoa văn,Khóa kéo,Mỏng,Chống nước,Trẻ sơ sinh
3T,69,49,Vàng,Cotton,Áo hoodie,Hoa văn,Không,Vừa,Chống nước,Trẻ sơ sinh
2T,63,47,Xanh,Len,Áo thun,Sọc,Khóa kéo,Vừa,Thoáng khí,Trẻ sơ sinh
3T,63,50,Xanh,Nỉ,Áo hoodie,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ sơ sinh
2T,50,50,Xanh,Nỉ,Bộ liền,Trơn,Không,Mỏng,Thoáng khí,Trẻ sơ sinh
3T,67,42,Đỏ,Cotton,Bộ liền,Sọc,Mũ trùm,Mỏng,Chống nước,Trẻ sơ sinh
2T,61,49,Hồng,Len,Áo hoodie,Hoa văn,Không,Vừa,Chống nước,Trẻ sơ sinh
3T,63,48,Hồng,Cotton,Bộ liền,Hoa văn,Mũ trùm,Vừa,Thoáng khí,Trẻ sơ sinh
2T,67,48,Đỏ,Nỉ,Áo thun,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ sơ sinh
3T,67,47,Đỏ,Cotton,Áo thun,Sọc,Mũ trùm,Vừa,Chống nước,Trẻ sơ sinh
2T,50,43,Hồng,Len,Áo thun,Trơn,Khóa kéo,Vừa,Chống nước,Trẻ sơ sinh
3T,69,42,Đỏ,Len,Bộ liền,Hoa văn,Không,Mỏng,Thoáng khí,Trẻ sơ sinh
2T,67,40,Đỏ,Len,Áo thun,Sọc,Mũ trùm,Vừa,Thoáng khí,Trẻ sơ sinh
3T,64,42,Xanh,Len,Áo hoodie,Hoa văn,Không,Vừa,Chống nước,Trẻ sơ sinh
2T,68,41,Hồng,Nỉ,Bộ liền,Sọc,Mũ trùm,Mỏng,Chống nước,Trẻ sơ sinh
3T,59,47,Hồng,Len,Áo thun,Sọc,Mũ trùm,Mỏng,Chống nước,Trẻ sơ sinh
2T,58,42,Đỏ,Nỉ,Áo hoodie,Trơn,Khóa kéo,Mỏng,Chống nước,Trẻ sơ sinh
3T,53,42,Hồng,Nỉ,Áo thun,Hoa văn,Không,Vừa,Chống nước,Trẻ sơ sinh
2T,53,40,Xanh,Len,Áo hoodie,Trơn,Khóa kéo,Mỏng,Thoáng khí,Trẻ sơ sinh
3T,56,49,Xanh,Nỉ,Áo hoodie,Hoa văn,Khóa kéo,Mỏng,Thoáng khí,Trẻ sơ sinh
